CALENDAR_DATE,DAILY_SALES
2024-06-01,118
2024-06-02,200
2024-06-03,1543
2024-06-04,400
2024-06-05,775
2024-06-06,1800
2024-06-07,250
2024-06-08,138
2024-06-09,1152
2024-06-10,46
2024-06-11,998
2024-06-12,200
2024-06-13,1826
2024-06-14,500
2024-06-15,46
2024-06-16,1497
2024-06-17,200
2024-06-18,52
2024-06-19,499
2024-06-20,500
2024-06-21,1038
2024-06-22,200
2024-06-23,52
2024-06-24,250
2024-06-25,1800
2024-06-26,499
2024-06-27,200
2024-06-28,138
2024-06-29,1024
2024-06-30,900
2024-07-01,46
2024-07-02,500
2024-07-03,252
2024-07-04,1537
2024-07-05,426
2024-07-06,500
2024-07-07,900
2024-07-08,499
2024-07-09,46
2024-07-10,400
2024-07-11,276
2024-07-12,900
2024-07-13,46
2024-07-14,200
2024-07-15,500
2024-07-16,52
2024-07-17,1800
2024-07-18,46
2024-07-19,250
2024-07-20,1497
2024-07-21,226
2024-07-22,900
2024-07-23,138
2024-07-24,200
2024-07-25,552
2024-07-26,900
2024-07-27,499
2024-07-28,92
2024-07-29,200
2024-07-30,26
2024-07-31,1400
2024-08-01,498
2024-08-02,499
2024-08-03,900
2024-08-04,250
2024-08-05,200
2024-08-06,138
2024-08-07,998
2024-08-08,26
2024-08-09,1800
2024-08-10,252
2024-08-11,499
2024-08-12,900
2024-08-13,72
2024-08-14,250
2024-08-15,400
2024-08-16,138
2024-08-17,998
2024-08-18,900
2024-08-19,52
2024-08-20,138
2024-08-21,499
2024-08-22,2566
2024-08-23,1426
2024-08-24,2045
2024-08-25,52
2024-08-26,138
2024-08-27,200
2024-08-28,500
2024-08-29,2098
2024-08-30,26
2024-09-01,250
2024-09-02,92
2024-09-03,499
2024-09-04,900
2024-09-05,400
2024-09-06,598
2024-09-07,2000
2024-09-08,1497
2024-09-09,26
2024-09-10,250
2024-09-12,2050
2024-09-13,1592
2024-09-14,1576
2024-09-15,3392
2024-09-17,6364
2024-09-18,1793
2024-09-19,1086
2024-09-20,1237
2024-09-21,50
2024-09-22,1666
2024-09-23,1196
2024-09-24,2522
2024-09-25,5214
2024-09-26,450
2024-09-28,1056
2024-09-30,1050
2024-10-01,4029
2024-10-02,1300
2024-10-03,400
2024-10-04,1055
2024-10-05,1190
2024-10-06,1039
2024-10-07,2047
2024-10-08,337
2024-10-09,1862
2024-10-10,388
2024-10-11,2728
2024-10-12,550
2024-10-13,50
2024-10-14,178
2024-10-15,1100
2024-10-16,499
2024-10-18,460
2024-10-19,100
2024-10-20,1639
2024-10-22,286
2024-10-23,858
2024-10-24,599
2024-10-25,175
2024-10-27,92
2024-10-28,120
2024-10-30,120
2024-10-31,26
2024-11-01,686
2024-11-02,50
2024-11-03,16
2024-11-05,297
2024-11-06,160
2024-11-07,120
2024-11-08,26
2024-11-09,100
2024-11-10,600
2024-11-11,150
2024-11-12,799
